,NOSE_TIP,PH_BULB,NERVE_RING,angle
208,"[529.0557251, 203.2845612]","[522.0963135, 242.3582611]","[503.5980225, 271.7520142]",22.08
209,"[516.6276855, 195.0227051]","[518.0462036, 229.6493683]","[506.2562561, 262.6143799]",22.03
210,"[500.4468994, 186.8376007]","[512.2247925, 217.649292]","[504.1646118, 255.4475708]",32.96
211,"[501.1600952, 172.1920929]","[499.3896179, 201.4391937]","[501.1080933, 242.5332794]",-5.86
212,"[500.0268555, 159.1308136]","[492.1113586, 192.5457001]","[494.3297119, 233.6051331]",-16.42
213,"[489.9724121, 153.6927032]","[487.847229, 186.1436615]","[486.1410828, 231.0848083]",-1.57
214,"[496.2691345, 144.6906586]","[482.7037659, 176.4044342]","[478.9211731, 221.8179016]",-18.4
215,"[505.5603333, 142.7545319]","[482.1494446, 166.2596893]","[473.8359985, 204.2802582]",-32.55
216,"[514.8372803, 145.7660065]","[484.2666626, 159.8899231]","[467.604126, 194.0097198]",-39.17
217,"[521.0231934, 155.6678009]","[492.6520996, 157.3951111]","[472.0725098, 170.3996277]",-28.81
218,"[521.9367065, 165.2233276]","[499.8293152, 159.7216797]","[472.1455078, 162.5550079]",-19.82
219,"[529.2683105, 166.8532715]","[503.3562012, 163.8528748]","[472.6295166, 160.4023285]",-0.2
220,"[534.3449707, 162.5079041]","[504.0249939, 166.5314636]","[471.6528931, 164.618454]",10.94
221,"[539.4968262, 160.360321]","[504.8917847, 167.7089386]","[472.2770386, 168.708313]",10.23
222,"[543.925293, 162.2635803]","[505.8937988, 168.2870331]","[472.1132507, 170.2002258]",5.76
223,"[545.757019, 162.6729431]","[507.2138672, 170.4712372]","[469.5648193, 172.6059875]",8.19
224,"[548.2518311, 155.3249359]","[514.4364624, 170.7433777]","[475.9362488, 174.0699768]",19.57
225,"[548.8675537, 146.17099]","[518.3074951, 166.6815643]","[479.9701233, 173.4564819]",23.85
226,"[549.6286011, 142.5453644]","[517.5235596, 164.546814]","[481.6743469, 176.7893524]",15.57
227,"[554.019104, 149.9118652]","[514.8279419, 161.4394531]","[480.9812317, 174.7015533]",-5.01
228,"[556.1386108, 161.7350311]","[519.1235962, 162.0531311]","[482.5861511, 171.4761505]",-13.97
229,"[558.3585205, 166.0726166]","[523.1654053, 164.7397614]","[484.4376831, 170.4099274]",-10.5
